rankdate,CPILFESL
195701,28.5
195702,28.6
195703,28.7
195704,28.8
195705,28.8
195706,28.9
195707,29
195708,29
195709,29.1
195710,29.2
195711,29.3
195712,29.3
195801,29.3
195802,29.4
195803,29.5
195804,29.5
195805,29.5
195806,29.6
195807,29.6
195808,29.6
195809,29.7
195810,29.7
195811,29.8
195812,29.9
195901,29.9
195902,29.9
195903,30
195904,30
195905,30.1
195906,30.2
195907,30.2
195908,30.2
195909,30.3
195910,30.4
195911,30.4
195912,30.5
196001,30.5
196002,30.6
196003,30.6
196004,30.6
196005,30.6
196006,30.7
196007,30.6
196008,30.6
196009,30.6
196010,30.8
196011,30.8
196012,30.7
196101,30.8
196102,30.8
196103,30.9
196104,30.9
196105,30.9
196106,31
196107,31
196108,31.1
196109,31.1
196110,31.1
196111,31.2
196112,31.2
196201,31.2
196202,31.2
196203,31.3
196204,31.3
196205,31.4
196206,31.4
196207,31.4
196208,31.5
196209,31.5
196210,31.5
196211,31.5
196212,31.6
196301,31.5
196302,31.6
196303,31.7
196304,31.7
196305,31.7
196306,31.8
196307,31.8
196308,31.9
196309,31.9
196310,32
196311,32
196312,32.1
196401,32.2
196402,32.2
196403,32.2
196404,32.2
196405,32.2
196406,32.3
196407,32.3
196408,32.3
196409,32.3
196410,32.4
196411,32.5
196412,32.5
196501,32.6
196502,32.6
196503,32.6
196504,32.7
196505,32.7
196506,32.7
196507,32.7
196508,32.7
196509,32.8
196510,32.8
196511,32.9
196512,33
196601,33
196602,33.1
196603,33.1
196604,33.3
196605,33.4
196606,33.5
196607,33.6
196608,33.7
196609,33.8
196610,34
196611,34
196612,34.1
196701,34.2
196702,34.2
196703,34.3
196704,34.4
196705,34.5
196706,34.6
196707,34.7
196708,34.9
196709,35
196710,35.1
196711,35.2
196712,35.4
196801,35.5
196802,35.7
196803,35.8
196804,35.9
196805,36
196806,36.2
196807,36.4
196808,36.5
196809,36.7
196810,36.9
196811,37.1
196812,37.2
196901,37.3
196902,37.6
196903,37.8
196904,38.1
196905,38.1
196906,38.3
196907,38.5
196908,38.7
196909,38.9
196910,39.1
196911,39.2
196912,39.4
197001,39.6
197002,39.8
197003,40.1
197004,40.4
197005,40.5
197006,40.8
197007,40.9
197008,41.1
197009,41.3
197010,41.5
197011,41.8
197012,42
197101,42.1
197102,42.2
197103,42.2
197104,42.4
197105,42.6
197106,42.8
197107,42.9
197108,43
197109,43
197110,43.1
197111,43.2
197112,43.3
197201,43.5
197202,43.6
197203,43.6
197204,43.8
197205,43.9
197206,44
197207,44.1
197208,44.3
197209,44.3
197210,44.4
197211,44.4
197212,44.6
197301,44.6
197302,44.8
197303,45
197304,45.1
197305,45.3
197306,45.4
197307,45.5
197308,45.7
197309,46
197310,46.3
197311,46.5
197312,46.7
197401,46.9
197402,47.2
197403,47.6
197404,47.9
197405,48.5
197406,49
197407,49.5
197408,50.2
197409,50.7
197410,51.2
197411,51.6
197412,52
197501,52.3
197502,52.8
197503,53
197504,53.3
197505,53.5
197506,53.8
197507,54
197508,54.2
197509,54.5
197510,54.8
197511,55.2
197512,55.5
197601,55.9
197602,56.2
197603,56.5
197604,56.7
197605,57
197606,57.2
197607,57.6
197608,57.9
197609,58.2
197610,58.5
197611,58.7
197612,58.9
197701,59.3
197702,59.7
197703,60
197704,60.3
197705,60.6
197706,61
197707,61.2
197708,61.5
197709,61.8
197710,62
197711,62.3
197712,62.7
197801,63.1
197802,63.4
197803,63.8
197804,64.3
197805,64.7
197806,65.2
197807,65.6
197808,66.1
197809,66.7
197810,67.2
197811,67.6
197812,68
197901,68.5
197902,69.2
197903,69.8
197904,70.3
197905,70.8
197906,71.3
197907,71.9
197908,72.7
197909,73.3
197910,74
197911,74.8
197912,75.7
198001,76.7
198002,77.5
198003,78.6
198004,79.5
198005,80.1
198006,81
198007,80.8
198008,81.3
198009,82.1
198010,83
198011,83.9
198012,84.9
198101,85.4
198102,85.9
198103,86.4
198104,87
198105,87.8
198106,88.6
198107,89.8
198108,90.7
198109,91.8
198110,92.1
198111,92.5
198112,93
198201,93.3
198202,93.8
198203,93.9
198204,94.7
198205,95.4
198206,96.1
198207,96.7
198208,97.1
198209,97.2
198210,97.5
198211,97.3
198212,97.2
198301,97.6
198302,98
198303,98.2
198304,98.6
198305,98.9
198306,99.2
198307,99.8
198308,100.1
198309,100.5
198310,101
198311,101.5
198312,101.8
198401,102.5
198402,102.8
198403,103.2
198404,103.7
198405,104.1
198406,104.5
198407,105
198408,105.4
198409,105.8
198410,106.2
198411,106.4
198412,106.8
198501,107.1
198502,107.7
198503,108.1
198504,108.4
198505,108.8
198506,109.1
198507,109.4
198508,109.8
198509,110
198510,110.5
198511,111.1
198512,111.4
198601,111.9
198602,112.2
198603,112.5
198604,112.9
198605,113.1
198606,113.4
198607,113.8
198608,114.2
198609,114.6
198610,115
198611,115.3
198612,115.6
198701,115.9
198702,116.2
198703,116.6
198704,117.3
198705,117.7
198706,117.9
198707,118.3
198708,118.7
198709,119.2
198710,119.8
198711,120.1
198712,120.4
198801,120.9
198802,121.2
198803,121.7
