YEAR,QUARTER,INFPGDP1YR,INFCPI1YR,INFCPI10YR
1970,1,#N/A,#N/A,#N/A
1970,2,2.99,#N/A,#N/A
1970,3,3.70,#N/A,#N/A
1970,4,3.54,#N/A,#N/A
1971,1,3.53,#N/A,#N/A
1971,2,3.42,#N/A,#N/A
1971,3,3.14,#N/A,#N/A
1971,4,3.42,#N/A,#N/A
1972,1,3.54,#N/A,#N/A
1972,2,3.39,#N/A,#N/A
1972,3,3.61,#N/A,#N/A
1972,4,3.70,#N/A,#N/A
1973,1,3.76,#N/A,#N/A
1973,2,3.77,#N/A,#N/A
1973,3,4.10,#N/A,#N/A
1973,4,5.37,#N/A,#N/A
1974,1,5.65,#N/A,#N/A
1974,2,5.61,#N/A,#N/A
1974,3,#N/A,#N/A,#N/A
1974,4,7.68,#N/A,#N/A
1975,1,7.24,#N/A,#N/A
1975,2,5.59,#N/A,#N/A
1975,3,5.95,#N/A,#N/A
1975,4,6.21,#N/A,#N/A
1976,1,6.18,#N/A,#N/A
1976,2,5.90,#N/A,#N/A
1976,3,6.06,#N/A,#N/A
1976,4,5.73,#N/A,#N/A
1977,1,5.64,#N/A,#N/A
1977,2,6.27,#N/A,#N/A
1977,3,5.90,#N/A,#N/A
1977,4,5.96,#N/A,#N/A
1978,1,5.90,#N/A,#N/A
1978,2,6.53,#N/A,#N/A
1978,3,6.91,#N/A,#N/A
1978,4,7.09,#N/A,#N/A
1979,1,7.33,#N/A,#N/A
1979,2,7.93,#N/A,#N/A
1979,3,8.03,#N/A,#N/A
1979,4,8.19,#N/A,#N/A
1980,1,8.70,#N/A,#N/A
1980,2,8.84,#N/A,#N/A
1980,3,8.93,#N/A,#N/A
1980,4,9.37,#N/A,#N/A
1981,1,9.06,#N/A,#N/A
1981,2,8.68,#N/A,#N/A
1981,3,7.80,7.82,#N/A
1981,4,7.52,7.70,#N/A
1982,1,7.02,6.62,#N/A
1982,2,6.24,6.04,#N/A
1982,3,5.87,5.97,#N/A
1982,4,5.59,5.50,#N/A
1983,1,5.00,4.52,#N/A
1983,2,4.82,4.72,#N/A
1983,3,4.95,4.54,#N/A
1983,4,5.53,5.15,#N/A
1984,1,4.98,4.81,#N/A
1984,2,5.38,5.30,#N/A
1984,3,4.75,4.95,#N/A
1984,4,4.41,4.42,#N/A
1985,1,3.99,4.12,#N/A
1985,2,4.33,4.35,#N/A
1985,3,4.21,4.25,#N/A
1985,4,3.97,3.85,#N/A
1986,1,3.33,3.59,#N/A
1986,2,3.15,3.41,#N/A
1986,3,2.62,3.50,#N/A
1986,4,3.11,3.62,#N/A
1987,1,3.70,3.90,#N/A
1987,2,3.92,4.36,#N/A
1987,3,4.14,4.50,#N/A
1987,4,3.62,4.37,#N/A
1988,1,3.76,4.20,#N/A
1988,2,3.94,4.57,#N/A
1988,3,4.18,4.98,#N/A
1988,4,4.37,4.90,#N/A
