date,div_yield,dp
2020-12-31,0.0158,-4.147745339
2020-12-1,0.0161,-4.128936007
2020-11-30,0.0165,-4.104394898
2020-10-31,0.0172,-4.062845895
2020-10-1,0.0177,-4.034190639
2020-9-30,0.0175,-4.045554398
2020-9-1,0.0169,-4.080441657
2020-8-31,0.0174,-4.051285073
2020-7-31,0.0185,-3.989984547
2020-7-1,0.0191,-3.958066944
2020-6-30,0.0192,-3.952845
2020-6-1,0.0195,-3.937340813
2020-5-31,0.0204,-3.892220378
2020-5-1,0.021,-3.863232841
2020-4-30,0.0216,-3.835061964
2020-4-1,0.0241,-3.725543438
2020-3-31,0.0225,-3.79423997
2020-2-29,0.018,-4.017383521
2020-1-31,0.0179,-4.022954566
2019-12-31,0.0183,-4.000854219
2019-11-30,0.0186,-3.984593698
2019-11-1,0.0187,-3.979231755
2019-10-31,0.0193,-3.947650183
2019-9-30,0.0192,-3.952845
2019-8-31,0.0196,-3.932225713
2019-7-31,0.0188,-3.973898409
2019-6-30,0.0194,-3.942482213
2019-5-31,0.0195,-3.937340813
2019-4-30,0.019,-3.9633163
2019-3-31,0.0196,-3.932225713
2019-2-28,0.0198,-3.922073341
2019-1-31,0.0208,-3.872802292
2018-12-31,0.0209,-3.86800612
2018-11-30,0.0196,-3.932225713
2018-10-31,0.019,-3.9633163
2018-9-30,0.018,-4.017383521
2018-8-31,0.0182,-4.006333685
2018-7-31,0.0184,-3.995404614
2018-6-30,0.0185,-3.989984547
2018-5-31,0.0188,-3.973898409
2018-4-30,0.019,-3.9633163
2018-3-31,0.0185,-3.989984547
2018-2-28,0.0184,-3.995404614
2018-1-31,0.0177,-4.034190639
2017-12-31,0.0184,-3.995404614
2017-11-30,0.0188,-3.973898409
2017-10-31,0.0189,-3.968593357
2017-9-30,0.0193,-3.947650183
2017-8-31,0.0195,-3.937340813
2017-7-31,0.0194,-3.942482213
2017-6-30,0.0194,-3.942482213
2017-5-31,0.0196,-3.932225713
2017-4-30,0.0198,-3.922073341
2017-3-31,0.0196,-3.932225713
2017-2-28,0.0198,-3.922073341
2017-1-31,0.0202,-3.902072675
2016-12-31,0.0203,-3.897134393
2016-11-30,0.021,-3.863232841
2016-10-31,0.0211,-3.858482239
2016-9-30,0.0209,-3.86800612
2016-8-31,0.0207,-3.877621579
2016-7-31,0.0208,-3.872802292
2016-6-30,0.0213,-3.849048206
2016-5-31,0.0214,-3.844364357
2016-4-30,0.0212,-3.853754097
2016-3-31,0.0217,-3.830443018
2016-2-29,0.023,-3.772261063
2016-1-31,0.0227,-3.785390354
2015-12-31,0.0211,-3.858482239
2015-11-30,0.0207,-3.877621579
2015-10-31,0.0211,-3.858482239
2015-9-30,0.0219,-3.821268642
2015-8-31,0.0207,-3.877621579
2015-7-31,0.0201,-3.907035464
2015-6-30,0.0199,-3.917035547
2015-5-31,0.0196,-3.932225713
2015-4-30,0.0196,-3.932225713
2015-3-31,0.0196,-3.932225713
2015-2-28,0.0194,-3.942482213
2015-1-31,0.0197,-3.927136643
2014-12-31,0.0192,-3.952845
2014-11-30,0.0191,-3.958066944
2014-10-31,0.02,-3.912023005
2014-9-30,0.0193,-3.947650183
2014-8-31,0.0194,-3.942482213
2014-7-31,0.0191,-3.958066944
2014-6-30,0.0192,-3.952845
2014-5-31,0.0196,-3.932225713
2014-4-30,0.0196,-3.932225713
2014-3-31,0.0194,-3.942482213
2014-2-28,0.0197,-3.927136643
2014-1-31,0.0194,-3.942482213
2013-12-31,0.0194,-3.942482213
2013-11-30,0.0195,-3.937340813
2013-10-31,0.0201,-3.907035464
2013-9-30,0.0204,-3.892220378
