Date,PE,pe
2020-12-31,37.85,3.63363098
2020-12-1,39.26,3.670206189
2020-11-30,36.66,3.601686242
2020-11-1,37.16,3.615232914
2020-10-1,35.3,3.563882964
2020-9-30,28.91,3.364187556
2020-9-1,34.27,3.534270336
2020-8-31,30.09,3.404192891
2020-8-1,34.41,3.53834722
2020-7-31,28.12,3.336481067
2020-7-1,32.44,3.479392229
2020-6-30,22.23,3.101442728
2020-6-1,31.29,3.443298558
2020-5-1,27.82,3.325755186
2020-4-30,20.88,3.038791763
2020-4-1,24.97,3.217675104
2020-3-31,19.45,2.96784707
2020-3-1,22.8,3.126760536
2020-2-28,22.23,3.101442728
2020-2-1,26.42,3.274121299
2020-1-31,24.27,3.18924102
2020-1-1,24.88,3.214064268
2019-12-31,24.21,3.186765771
2019-12-1,22.78,3.125882958
2019-11-1,22.62,3.118834471
2019-10-1,22.04,3.092858984
2019-9-1,22.44,3.110845081
2019-8-1,21.67,3.075928816
2019-7-1,22.28,3.103689415
2019-6-1,21.37,3.061988069
2019-5-31,20.43,3.017004409
2019-5-1,21.15,3.051639905
2019-4-1,21.56,3.070839746
2019-3-1,20.86,3.03783345
2019-2-1,20.6,3.025291076
2019-1-1,19.6,2.975529566
2018-12-1,19.39,2.964757469
2018-11-1,20.67,3.028683374
2018-10-1,21.25,3.056356895
2018-9-1,22.25,3.102342009
2018-8-1,22.37,3.107720776
2018-7-1,22.33,3.105931066
2018-6-1,22.49,3.113070766
2018-5-1,22.49,3.113070766
2018-4-1,22.53,3.114847754
2018-3-1,23.41,3.153163282
2018-2-1,23.82,3.170525564
2018-1-1,24.97,3.217675104
2017-12-1,24.25,3.188416617
2017-11-1,23.81,3.17010566
2017-10-1,23.67,3.164208424
2017-9-1,23.28,3.147594623
2017-8-1,23.16,3.142426653
2017-7-1,23.36,3.151025158
2017-6-1,23.4,3.152736022
2017-5-1,23.31,3.148882453
2017-4-1,23.24,3.145874932
2017-3-1,23.6,3.161246712
2017-2-1,23.68,3.16463081
2017-1-1,23.59,3.160822893
2016-12-1,23.76,3.168003494
2016-11-1,23.35,3.150596984
2016-10-1,23.57,3.159974717
2016-9-1,24.22,3.187178738
2016-8-1,24.57,3.201526187
2016-7-1,24.52,3.199489111
2016-6-1,23.97,3.176803048
2016-5-1,23.81,3.17010566
2016-4-1,23.97,3.176803048
2016-3-1,23.39,3.152308581
2016-2-1,22.02,3.091951131
2016-1-1,22.18,3.099190982
2015-12-1,23.74,3.167161389
2015-11-1,23.67,3.164208424
2015-10-1,22.68,3.121483479
2015-9-1,21.45,3.065724645
2015-8-1,22.15,3.097837496
2015-7-1,22.4,3.109060959
2015-6-1,22.12,3.096482177
2015-5-1,21.92,3.087399462
2015-4-1,21.42,3.064325065
