caldt,vwretd,vwretx,ewretd,ewretx,totval,totcnt,usdval,usdcnt,spindx,sprtrn
1976-03-31,0.032474,0.030623,0.018866,0.015380,587396299.00,500,568326394.00,499,102.77,0.030689
1976-04-30,-0.009610,-0.010699,-0.008644,-0.010487,581613605.00,500,587396299.00,500,101.64,-0.010995
1976-05-28,-0.008110,-0.015019,-0.016454,-0.021263,574407346.00,500,581492217.00,499,100.18,-0.014364
1976-06-30,0.043959,0.042158,0.054092,0.050594,599232313.00,500,574407346.00,500,104.28,0.040926
1976-07-30,-0.008079,-0.009412,-0.005090,-0.006890,623800459.00,500,598039797.00,499,103.44,-0.008055
1976-08-31,0.001599,-0.004982,-0.010466,-0.015543,621186189.00,500,623763543.00,498,102.91,-0.005124
1976-09-30,0.024402,0.022656,0.019770,0.016765,636178589.00,500,621048858.00,496,105.24,0.022641
1976-10-29,-0.019957,-0.021737,-0.024109,-0.026140,621508456.00,500,636010130.00,496,102.90,-0.022235
1976-11-30,-0.001041,-0.008628,0.022976,0.017396,617346638.00,500,621508456.00,497,102.10,-0.007775
1976-12-31,0.053754,0.052147,0.074788,0.071993,654696366.00,500,617346638.00,500,107.46,0.052498
1977-01-31,-0.049684,-0.051192,-0.034103,-0.035755,622113511.00,500,654031446.00,499,102.03,-0.050530
1977-02-28,-0.015638,-0.022400,-0.018894,-0.023645,609124012.00,500,621815892.00,499,99.82,-0.021660
1977-03-31,-0.012490,-0.014535,0.000893,-0.002476,601766122.00,500,608761449.00,498,98.42,-0.014025
1977-04-29,0.000641,-0.000503,0.008245,0.006641,602718249.00,500,601741133.00,498,98.44,0.000203
1977-05-31,-0.015169,-0.023655,-0.014016,-0.019774,591411644.00,500,602718249.00,499,96.12,-0.023568
1977-06-30,0.047838,0.045771,0.053054,0.049894,620052333.00,500,591411644.00,500,100.48,0.045360
1977-07-29,-0.015453,-0.016589,-0.017614,-0.019139,610833966.00,500,620052333.00,500,98.85,-0.016222
1977-08-31,-0.012310,-0.020221,-0.014606,-0.020464,599095754.00,500,610833966.00,500,96.77,-0.021042
1977-09-30,-0.000825,-0.003084,-0.001940,-0.005207,598206381.00,500,599095754.00,500,96.53,-0.002480
1977-10-31,-0.041984,-0.043869,-0.037299,-0.039474,572127829.00,500,598120956.00,499,92.34,-0.043406
1977-11-30,0.036696,0.026882,0.062722,0.056153,589218487.00,500,571815190.00,498,94.83,0.026966
1977-12-30,0.005570,0.003637,0.001322,-0.001858,594481564.00,500,589218487.00,500,95.10,0.002847
1978-01-31,-0.060643,-0.062611,-0.052203,-0.054196,556967829.00,500,594481564.00,500,89.25,-0.061514
1978-02-28,-0.016260,-0.024938,-0.010106,-0.016400,543089174.00,500,556929640.00,499,87.04,-0.024762
1978-03-31,0.026942,0.024377,0.053017,0.049390,556897077.00,500,543089174.00,499,89.21,0.024931
1978-04-28,0.088899,0.087528,0.084038,0.082289,606128316.00,500,555921442.00,498,96.83,0.085416
1978-05-31,0.013777,0.004492,0.033790,0.027238,609584310.00,500,606070682.00,498,97.24,0.004234
1978-06-30,-0.016578,-0.018953,-0.012138,-0.015439,599829769.00,500,609532320.00,499,95.53,-0.017585
1978-07-31,0.056959,0.055106,0.061325,0.059240,633315847.00,500,599829769.00,499,100.68,0.053910
1978-08-31,0.033610,0.025523,0.050538,0.044714,650678659.00,500,633207937.00,499,103.29,0.025924
1978-09-29,-0.005163,-0.007483,-0.008445,-0.011506,646610977.00,500,650678659.00,500,102.54,-0.007261
1978-10-31,-0.089848,-0.092572,-0.133472,-0.136032,592429103.00,500,646304855.00,497,93.15,-0.091574
1978-11-30,0.026624,0.017242,0.028495,0.021780,604097848.00,500,592183822.00,498,94.70,0.016640
1978-12-29,0.016540,0.014189,0.008890,0.005159,615931745.00,500,603476831.00,498,96.11,0.014889
1979-01-31,0.042644,0.040116,0.068649,0.066143,641065799.00,500,614974950.00,495,99.93,0.039746
1979-02-28,-0.028737,-0.037065,-0.030552,-0.036743,620259408.00,500,639826126.00,494,96.28,-0.036526
1979-03-30,0.057314,0.054801,0.072930,0.069102,655684372.00,500,620259408.00,498,101.59,0.055152
1979-04-30,0.004183,0.002218,0.010733,0.008284,657223904.00,500,655684372.00,500,101.76,0.001673
1979-05-31,-0.016910,-0.026413,-0.013329,-0.019885,641323529.00,500,656618368.00,499,99.08,-0.026336
1979-06-29,0.040324,0.037792,0.051772,0.047840,665919027.00,500,640969679.00,499,102.91,0.038656
1979-07-31,0.011531,0.009227,0.026523,0.023976,673727755.00,500,664879527.00,497,103.81,0.008746
1979-08-31,0.061865,0.053222,0.071897,0.065442,710875678.00,500,673727755.00,500,109.32,0.053078
1979-09-28,0.001416,-0.000872,-0.000964,-0.003896,710769041.00,500,710454638.00,499,109.32,0.000000
1979-10-31,-0.065547,-0.068505,-0.091402,-0.094307,662504340.00,500,710769041.00,499,101.82,-0.068606
1979-11-30,0.052777,0.043570,0.065807,0.058867,693055996.00,500,662504340.00,500,106.16,0.042624
1979-12-31,0.018291,0.015839,0.040337,0.036354,707416137.00,500,691936590.00,499,107.94,0.016767
1980-01-31,0.061073,0.058695,0.058499,0.056113,750494264.00,500,707015055.00,499,114.16,0.057625
1980-02-29,0.002644,-0.005565,-0.031679,-0.037824,747780101.00,500,749424328.00,499,113.66,-0.004380
1980-03-31,-0.097518,-0.100096,-0.105716,-0.109875,672127528.00,500,745613849.00,499,102.09,-0.101795
1980-04-30,0.042230,0.039707,0.045782,0.042974,702410163.00,500,670958431.00,497,106.29,0.041140
1980-05-30,0.055560,0.046651,0.081396,0.074573,736800187.00,500,702410163.00,500,111.24,0.046571
1980-06-30,0.029584,0.026764,0.032532,0.028343,756854493.00,500,736196191.00,499,114.24,0.026969
1980-07-31,0.068200,0.065630,0.091636,0.089087,806826712.00,500,756854493.00,500,121.67,0.065039
1980-08-29,0.013368,0.005935,0.026797,0.020900,812980237.00,500,806247339.00,499,122.38,0.005835
1980-09-30,0.027935,0.025155,0.028600,0.024886,837757103.00,500,811538884.00,497,125.46,0.025168
1980-10-31,0.017788,0.014718,0.008814,0.005735,849964314.00,500,836998735.00,496,127.47,0.016021
1980-11-28,0.109774,0.102859,0.064076,0.058717,941031406.00,500,848063915.00,495,140.52,0.102377
1980-12-31,-0.030709,-0.033084,-0.011228,-0.015232,919424016.00,500,940862024.00,498,135.76,-0.033874
1981-01-30,-0.043370,-0.045036,-0.011364,-0.013366,878958424.00,500,919382392.00,499,129.55,-0.045742
1981-02-27,0.021199,0.013415,0.027859,0.022036,892332358.00,500,878958424.00,499,131.27,0.013277
1981-03-31,0.038285,0.035426,0.082034,0.077860,922348296.00,500,890072044.00,497,136.00,0.036033
1981-04-30,-0.020226,-0.021983,0.000652,-0.001440,904043755.00,500,920175367.00,495,132.81,-0.023456
1981-05-29,0.006337,-0.001356,0.016766,0.011384,905985939.00,500,902952119.00,496,132.59,-0.001657
1981-06-30,-0.007931,-0.010867,-0.008040,-0.012074,900244202.00,500,903604596.00,497,131.21,-0.010408
1981-07-31,0.000639,-0.001023,-0.017765,-0.019777,901729014.00,500,898273196.00,497,130.92,-0.002210
